Order number,Client ID,Product code,Delivery Date,Delivery amount
47333,7134,509165,10/9/2019,62855
76804,7118,380513,10/21/2019,53013
34139,7126,509165,10/22/2019,36369
3039,7158,380089,10/23/2019,46989
3039,7158,202041,10/23/2019,42920
3039,7158,380515,10/23/2019,3643
46614,7128,509165,10/29/2019,49433
110007,7121,509165,10/30/2019,21116
35476,7126,234028,12/17/2019,47822
54147,7129,234028,12/17/2019,51583
35476,7126,509369,12/17/2019,36309
31696,7161,234028,12/19/2019,47929
31696,7161,509369,12/19/2019,56585
88310,7110,234028,12/22/2019,7857
58795,7136,234028,12/22/2019,39815
88310,7110,509369,12/22/2019,45379
58795,7136,509369,12/22/2019,53069
60943,7125,234028,12/24/2019,52289
50669,7146,234028,12/24/2019,1370
49160,7134,509369,12/24/2019,28583
55375,7135,509369,12/24/2019,5845
10100,7167,218989,12/24/2019,4966
112601,7121,234028,12/25/2019,2260
3196,7158,495974,12/26/2019,60606
3196,7158,380089,12/26/2019,53749
3196,7158,380515,12/26/2019,11079
