Order number,Client ID,Product code,Delivery Date,Delivery amount
81318,7118,510986,2/17/2020,65019
49741,7128,234028,2/18/2020,38662
29280,7138,510986,2/19/2020,1308
29280,7138,510984,2/19/2020,34346
29280,7138,510985,2/19/2020,47580
29280,7138,510987,2/19/2020,19293
56431,7129,512020,2/24/2020,63525
11832,7167,512182,2/25/2020,63547
41425,7139,513597,2/25/2020,22525
33760,7161,513597,2/26/2020,30345
115202,7121,513597,2/26/2020,47432
37148,7126,513597,2/26/2020,4355
33760,7161,512702,2/26/2020,14190
115202,7121,512702,2/26/2020,56475
37148,7126,512702,2/26/2020,45616
33760,7161,512019,2/26/2020,40337
37148,7126,512019,2/26/2020,29940
115202,7121,512021,2/26/2020,10290
37148,7126,512021,2/26/2020,26006
37148,7126,512020,2/26/2020,64552
33760,7161,512020,2/26/2020,2903
33760,7161,512182,2/26/2020,19337
115202,7121,512182,2/26/2020,53812
37148,7126,512182,2/26/2020,36210
37148,7126,512015,2/26/2020,23728
33760,7161,512015,2/26/2020,30071
33760,7161,512018,2/26/2020,2923
37148,7126,512018,2/26/2020,40161
33760,7161,512021,2/26/2020,49052
37148,7126,512017,2/26/2020,30410
33760,7161,512017,2/26/2020,31873
33760,7161,512701,2/26/2020,56653
115202,7121,512701,2/26/2020,55982
37148,7126,512701,2/26/2020,45137
37148,7126,512016,2/26/2020,54116
33760,7161,512016,2/26/2020,63107
61464,7136,512021,3/3/2020,19200
81892,7118,512020,3/3/2020,27211
61464,7136,513597,3/3/2020,14539
61464,7136,514991,3/3/2020,18679
50135,7128,514991,3/4/2020,48546
50135,7128,512182,3/4/2020,51856
37388,7126,514991,3/5/2020,20280
50643,7134,514991,3/5/2020,38151
53911,7146,514991,3/5/2020,64291
50643,7134,513597,3/5/2020,34762
4945,7158,167346,3/6/2020,4338
4945,7158,241122,3/6/2020,43129
4945,7158,497253,3/6/2020,51866
58529,7140,514991,3/10/2020,27550
82124,7118,514991,3/10/2020,44257
63479,7125,514991,3/11/2020,63015
30914,7155,514991,3/11/2020,51797
50293,7128,111893,3/11/2020,31755
30914,7155,234028,3/11/2020,33998
115947,7121,148537,3/12/2020,62789
90488,7110,514991,3/16/2020,33071
55024,7131,514991,3/17/2020,7764
55024,7131,510984,3/17/2020,14241
37662,7126,510984,3/18/2020,60125
37662,7126,510985,3/18/2020,43473
37662,7126,111893,3/18/2020,11920
37662,7126,510987,3/18/2020,8186
37662,7126,510986,3/18/2020,6857
37662,7126,148537,3/18/2020,57860
12423,7167,514991,3/18/2020,22160
104405,7111,514991,3/18/2020,39744
12414,7167,495715,3/18/2020,22851
62223,7136,510986,3/20/2020,9290
62223,7136,510987,3/20/2020,62193
62223,7136,510984,3/20/2020,60986
62223,7136,510985,3/20/2020,4453
64024,7125,515899,3/25/2020,6023
57345,7129,515899,3/25/2020,15774
42219,7139,514991,3/25/2020,28839
116634,7121,111893,3/26/2020,15661
91147,7110,510987,3/30/2020,12080
91147,7110,111893,3/30/2020,4572
91147,7110,515899,3/30/2020,12484
82699,7114,515899,3/30/2020,39466
91147,7110,510986,3/30/2020,53394
91147,7110,510985,3/30/2020,8540
91147,7110,148537,3/30/2020,10137
82918,7118,515899,3/31/2020,47440
50705,7128,515899,4/1/2020,61672
54555,7146,515899,4/1/2020,13252
42663,7139,515899,4/1/2020,11095
57630,7129,111893,4/1/2020,34075
5849,7158,178667,4/2/2020,46620
5737,7158,178668,4/2/2020,1335
34650,7161,514991,4/2/2020,62029
5737,7158,111864,4/2/2020,12738
5737,7158,218993,4/2/2020,20520
5849,7158,241125,4/2/2020,32230
5737,7158,111927,4/2/2020,62743
30440,7138,515899,4/2/2020,13879
31408,7155,515899,4/2/2020,31443
5737,7158,515899,4/2/2020,1979
34650,7161,515899,4/2/2020,44318
51390,7134,515899,4/2/2020,37639
38048,7126,515899,4/2/2020,1786
117047,7121,515899,4/2/2020,30002
51390,7134,510985,4/2/2020,57765
51390,7134,510984,4/2/2020,63689
51390,7134,510986,4/2/2020,54188
51390,7134,510987,4/2/2020,39892
5849,7158,111879,4/2/2020,7494
51390,7134,148537,4/2/2020,19187
5849,7158,167351,4/2/2020,16037
34650,7161,148537,4/2/2020,25477
5737,7158,494843,4/2/2020,63119
5849,7158,218889,4/2/2020,54276
5849,7158,241123,4/2/2020,39439
5737,7158,497034,4/2/2020,63840
5737,7158,167352,4/2/2020,25415
83173,7118,148537,4/7/2020,14013
83173,7118,111893,4/7/2020,13991
55753,7131,515899,4/7/2020,4376
59506,7140,515899,4/7/2020,48768
59492,7140,515886,4/7/2020,26820
64560,7125,515886,4/8/2020,31159
13077,7167,515899,4/8/2020,52017
64596,7125,111893,4/8/2020,58322
30724,7138,234028,4/9/2020,35334
6067,7158,497030,4/9/2020,4842
6067,7158,497032,4/9/2020,24462
63062,7136,515886,4/10/2020,21091
63057,7136,515899,4/10/2020,23069
58420,7135,111893,4/14/2020,28267
105335,7111,111893,4/14/2020,44136
58420,7135,148537,4/14/2020,39597
83372,7114,148537,4/20/2020,52805
83372,7114,111893,4/20/2020,23080
63543,7136,513611,4/21/2020,52117
118052,7121,513611,4/23/2020,3945
35479,7161,513611,4/23/2020,45696
6620,7158,495714,4/23/2020,65291
6620,7158,495721,4/23/2020,4152
6620,7158,495713,4/23/2020,55767
6620,7158,495715,4/23/2020,26422
6620,7158,495716,4/23/2020,21454
6620,7158,495717,4/23/2020,1652
6620,7158,495719,4/23/2020,59567
6620,7158,495720,4/23/2020,14756
6620,7158,495722,4/23/2020,31353
6620,7158,495718,4/23/2020,7375
65328,7125,518702,4/29/2020,21635
56071,7146,518702,4/29/2020,2060
35685,7161,518702,4/29/2020,8703
58484,7129,518702,4/29/2020,42386
58484,7129,518704,4/29/2020,19959
58484,7129,518703,4/29/2020,56570
65328,7125,518703,4/29/2020,8499
56071,7146,518703,4/29/2020,26349
35685,7161,518703,4/29/2020,55157
43672,7139,513611,4/29/2020,41565
65328,7125,518704,4/29/2020,12890
56071,7146,518704,4/29/2020,52651
35685,7161,518704,4/29/2020,24485
38776,7126,518704,4/30/2020,57586
51866,7134,513611,4/30/2020,53420
38776,7126,518703,4/30/2020,14145
51866,7134,518703,4/30/2020,36780
63896,7136,518703,4/30/2020,42822
31367,7138,518703,4/30/2020,11785
51866,7134,518704,4/30/2020,11298
63896,7136,518704,4/30/2020,32328
31367,7138,518704,4/30/2020,13894
51866,7134,518702,4/30/2020,22745
63896,7136,518702,4/30/2020,6321
31367,7138,518702,4/30/2020,58480
38776,7126,518702,4/30/2020,33670
31375,7138,515886,4/30/2020,10357
83975,7114,234028,4/30/2020,5241
84247,7118,518702,5/5/2020,7384
60334,7140,518702,5/5/2020,60396
60334,7140,518704,5/5/2020,26489
84247,7118,518703,5/5/2020,57400
84247,7118,518704,5/5/2020,50475
60334,7140,518703,5/5/2020,47097
13843,7167,518702,5/6/2020,14837
106170,7111,518703,5/7/2020,7118
106170,7111,518702,5/7/2020,56731
106170,7111,518704,5/7/2020,6260
7144,7158,178669,5/7/2020,32900
7144,7158,111946,5/7/2020,50845
7144,7158,191628,5/7/2020,25066
7144,7158,241008,5/7/2020,17724
59533,7135,518702,5/19/2020,11162
14186,7167,111947,5/20/2020,19048
7537,7158,111947,5/21/2020,8275
57962,7131,515886,5/21/2020,3647
119652,7121,518702,5/21/2020,24806
7537,7158,218991,5/21/2020,32164
7537,7158,191629,5/21/2020,36155
7704,7158,241129,5/28/2020,19092
7704,7158,111889,5/28/2020,13287
7704,7158,178743,5/28/2020,18521
14575,7167,111855,6/3/2020,1995
37071,7161,237550,6/5/2020,60424
37071,7161,237549,6/5/2020,56857
37071,7161,237553,6/5/2020,17773
37071,7161,520630,6/5/2020,64868
37071,7161,237551,6/5/2020,58499
37071,7161,382523,6/5/2020,10400
37071,7161,520629,6/5/2020,41351
45285,7139,382523,6/8/2020,40392
45285,7139,520629,6/8/2020,44028
45285,7139,237551,6/8/2020,32660
45285,7139,237553,6/8/2020,51218
45285,7139,520630,6/8/2020,63477
45285,7139,237549,6/8/2020,25815
45285,7139,237550,6/8/2020,22864
45285,7139,382522,6/8/2020,3692
61392,7140,382522,6/9/2020,34857
60308,7135,382522,6/9/2020,9294
61392,7140,237550,6/9/2020,41541
60308,7135,237550,6/9/2020,24875
60308,7135,237549,6/9/2020,29011
61392,7140,520630,6/9/2020,30735
60308,7135,237553,6/9/2020,27018
60308,7135,520630,6/9/2020,65891
61392,7140,237551,6/9/2020,64948
60308,7135,237551,6/9/2020,4965
60308,7135,520629,6/9/2020,51613
61392,7140,520629,6/9/2020,10499
120699,7121,520629,6/10/2020,18773
120699,7121,237553,6/10/2020,57788
120699,7121,520630,6/10/2020,8126
120699,7121,237549,6/10/2020,8335
120699,7121,237550,6/10/2020,49499
120699,7121,237551,6/10/2020,59701
32697,7138,382522,6/11/2020,27588
32697,7138,237550,6/11/2020,15424
32697,7138,237549,6/11/2020,47814
32697,7138,520629,6/11/2020,47293
32697,7138,237553,6/11/2020,42514
32697,7138,520630,6/11/2020,11170
32697,7138,237551,6/11/2020,51391
65756,7136,237551,6/15/2020,16057
65756,7136,382523,6/15/2020,23077
65756,7136,520629,6/15/2020,35445
65756,7136,237553,6/15/2020,18896
65756,7136,520630,6/15/2020,27607
65756,7136,382522,6/15/2020,38573
15040,7167,382522,6/17/2020,28187
15040,7167,237550,6/17/2020,13897
15040,7167,237549,6/17/2020,33687
15040,7167,237553,6/17/2020,29803
14933,7167,241903,6/17/2020,17304
15040,7167,382523,6/17/2020,42976
15040,7167,237551,6/17/2020,10266
59403,7131,237551,6/18/2020,64938
52888,7134,237551,6/18/2020,31249
59403,7131,237553,6/18/2020,31575
52888,7134,237553,6/18/2020,37505
52888,7134,237549,6/18/2020,7229
52888,7134,237550,6/18/2020,22646
8416,7158,218986,6/18/2020,49441
8416,7158,111855,6/18/2020,45967
59403,7131,382522,6/18/2020,51038
52888,7134,382522,6/18/2020,64722
93638,7110,382522,6/22/2020,38186
58742,7146,382522,6/22/2020,57831
93638,7110,237551,6/22/2020,8839
58742,7146,237550,6/22/2020,32763
93638,7110,237550,6/22/2020,50245
58742,7146,237549,6/22/2020,26671
93638,7110,237549,6/22/2020,32279
58742,7146,237553,6/22/2020,31578
58742,7146,520630,6/22/2020,33366
93638,7110,237553,6/22/2020,4891
93638,7110,520630,6/22/2020,53249
58742,7146,237551,6/22/2020,22892
58742,7146,382523,6/22/2020,13961
58742,7146,520629,6/22/2020,3749
93638,7110,520629,6/22/2020,47873
86112,7118,382523,6/23/2020,41671
86112,7118,520629,6/23/2020,11817
61877,7140,382523,6/23/2020,63635
86198,7118,515886,6/23/2020,59964
86112,7118,237553,6/23/2020,13864
86112,7118,520630,6/23/2020,47500
61877,7140,237553,6/23/2020,51395
86112,7118,237550,6/23/2020,18482
52494,7128,237550,6/24/2020,62516
52494,7128,382522,6/24/2020,9170
52494,7128,237553,6/24/2020,8527
107976,7111,515886,6/24/2020,30132
52494,7128,237551,6/24/2020,35691
52494,7128,382523,6/24/2020,7577
33570,7155,382523,6/25/2020,12946
33570,7155,237551,6/25/2020,31912
33570,7155,237553,6/25/2020,34085
33579,7155,521721,6/25/2020,47986
59537,7131,521721,6/25/2020,54839
53061,7134,521721,6/25/2020,62725
121414,7121,382522,6/25/2020,52414
33570,7155,382522,6/25/2020,58930
33570,7155,237550,6/25/2020,45406
33570,7155,237549,6/25/2020,50533
67156,7125,237549,6/26/2020,60692
66341,7136,237550,6/26/2020,43204
67156,7125,237550,6/26/2020,16131
67156,7125,237551,6/26/2020,59454
67156,7125,382522,6/26/2020,30625
66382,7136,521721,6/26/2020,15394
67156,7125,382523,6/26/2020,28225
46128,7139,521721,6/29/2020,65356
94076,7110,521721,6/29/2020,33596
85908,7114,521721,6/29/2020,20318
86513,7118,521721,6/30/2020,42225
108235,7111,521721,6/30/2020,21104
60920,7135,382523,6/30/2020,55067
86538,7118,237551,6/30/2020,57001
86538,7118,382522,6/30/2020,43897
8873,7158,237550,7/1/2020,51312
8873,7158,237549,7/1/2020,14037
8873,7158,237551,7/1/2020,15603
8873,7158,237553,7/1/2020,34481
67359,7125,521721,7/1/2020,56285
59132,7146,521721,7/1/2020,19756
33404,7138,521721,7/2/2020,19868
37623,7161,521721,7/2/2020,37384
40243,7126,521721,7/2/2020,59543
53189,7134,520630,7/2/2020,24115
53189,7134,520629,7/2/2020,47291
60037,7131,237550,7/2/2020,34349
46423,7139,522030,7/6/2020,23687
52799,7128,521721,7/6/2020,9202
15631,7167,521721,7/8/2020,51111
60850,7129,237551,7/8/2020,16297
60850,7129,237553,7/8/2020,44140
67585,7125,522030,7/8/2020,55700
60789,7129,522030,7/8/2020,25323
9119,7158,244501,7/8/2020,44090
60850,7129,237549,7/8/2020,23399
60850,7129,237550,7/8/2020,34623
60850,7129,382522,7/8/2020,21148
9119,7158,497028,7/8/2020,65723
122208,7121,522030,7/9/2020,40560
53412,7134,522030,7/9/2020,38331
67076,7136,522030,7/9/2020,61756
33666,7138,382523,7/9/2020,33297
122208,7121,521721,7/9/2020,57174
94558,7110,522030,7/13/2020,33660
61387,7135,522030,7/14/2020,22073
62628,7140,522030,7/14/2020,21614
61387,7135,521721,7/14/2020,52597
67909,7125,237553,7/15/2020,7604
53117,7128,237549,7/15/2020,52836
9359,7158,522030,7/16/2020,52978
38120,7161,522030,7/16/2020,36527
33878,7138,522030,7/16/2020,22024
60423,7131,522030,7/16/2020,54604
108949,7111,522030,7/21/2020,11028
87330,7118,522030,7/21/2020,60308
16082,7167,522030,7/22/2020,64243
40781,7126,237549,7/23/2020,65428
40781,7126,382522,7/23/2020,3560
40781,7126,237551,7/23/2020,22271
40781,7126,237550,7/23/2020,51849
60894,7131,382523,7/23/2020,59823
9862,7158,241903,7/29/2020,56065
9872,7158,382522,7/29/2020,3433
60639,7146,522030,7/29/2020,53929
38815,7161,382522,7/31/2020,26271
109337,7111,237551,8/4/2020,10783
109337,7111,237550,8/4/2020,5189
109337,7111,237553,8/4/2020,28576
109337,7111,382523,8/4/2020,27901
34693,7155,522997,8/5/2020,11233
124103,7121,522997,8/6/2020,20772
61476,7131,522997,8/6/2020,44222
54157,7134,522997,8/6/2020,51999
87374,7114,237550,8/10/2020,59975
87374,7114,237551,8/10/2020,20651
87374,7114,382522,8/10/2020,51386
87374,7114,237549,8/10/2020,18801
87374,7114,382523,8/10/2020,24071
87374,7114,237553,8/10/2020,37240
62328,7135,522997,8/11/2020,59130
63431,7140,522997,8/11/2020,63845
10417,7158,522997,8/12/2020,8052
69036,7125,522997,8/12/2020,38005
10417,7158,111896,8/12/2020,52825
10416,7158,382523,8/12/2020,45975
41247,7126,382523,8/13/2020,50142
68730,7136,522997,8/13/2020,46695
39143,7161,522997,8/14/2020,55086
48185,7139,522997,8/17/2020,65422
69037,7136,512022,8/18/2020,3730
61702,7146,512022,8/19/2020,31336
61702,7146,522997,8/19/2020,62466
54484,7134,515886,8/20/2020,10584
54480,7134,512022,8/20/2020,30570
124509,7121,512022,8/20/2020,53774
35060,7138,522997,8/20/2020,42860
62685,7131,237549,8/27/2020,63879
39696,7161,512022,8/28/2020,26671
88934,7118,522997,9/1/2020,27001
110293,7111,382522,9/1/2020,50355
88957,7118,237549,9/1/2020,39307
69690,7136,237549,9/1/2020,18505
88934,7118,512022,9/1/2020,19581
41779,7126,512022,9/2/2020,28701
41779,7126,522030,9/2/2020,11104
41779,7126,522997,9/2/2020,38156
63218,7135,512022,9/8/2020,11625
11713,7158,512022,9/16/2020,60914
64087,7135,515886,10/6/2020,44701
64386,7146,524063,10/14/2020,42576
64386,7146,524459,10/14/2020,16368
64386,7146,524468,10/14/2020,37428
64386,7146,524065,10/14/2020,34900
64386,7146,524064,10/14/2020,7344
41214,7161,524064,10/15/2020,50737
41214,7161,524065,10/15/2020,11270
55766,7134,524064,10/15/2020,51696
71688,7136,524064,10/15/2020,2765
37023,7138,524064,10/15/2020,18173
55766,7134,524065,10/15/2020,34207
71688,7136,524065,10/15/2020,43870
55766,7134,524468,10/15/2020,19196
71688,7136,524468,10/15/2020,6860
37023,7138,524468,10/15/2020,26952
55766,7134,524459,10/15/2020,25844
71688,7136,524459,10/15/2020,12684
37023,7138,524459,10/15/2020,9813
55766,7134,524063,10/15/2020,43555
71688,7136,524063,10/15/2020,59232
50326,7139,524064,10/19/2020,59621
50326,7139,524065,10/19/2020,50370
90859,7118,524064,10/20/2020,40313
90859,7118,524065,10/20/2020,63317
63419,7129,382523,10/21/2020,3218
41422,7161,524063,10/22/2020,53569
127831,7121,524065,10/22/2020,5911
41422,7161,524468,10/22/2020,47141
41422,7161,524459,10/22/2020,27420
91080,7118,524468,10/27/2020,20481
91080,7118,524459,10/27/2020,15998
55483,7128,524459,10/28/2020,60576
55483,7128,524468,10/28/2020,6321
55483,7128,524065,10/28/2020,18884
55483,7128,524064,10/28/2020,33091
55483,7128,524063,10/28/2020,13303
37342,7138,524063,10/29/2020,7849
37342,7138,524065,10/29/2020,3195
66280,7140,237549,11/17/2020,52318
130090,7121,382523,12/3/2020,3322
99655,7110,382523,12/14/2020,36419
20931,7167,515886,12/16/2020,12472
56309,7128,515886,12/17/2020,28914
56859,7134,382523,12/17/2020,54005
44106,7126,515886,12/24/2020,58196
